TimeStamp,DeviceName,CarbonMonoxide,Humidity,LPG,Smoke,Temperature
2025-09-01 00:00:07,b8:27:eb:bf:9d:51,0.004955939,51.0,0.007650822,0.02041127,22.7
2025-09-01 00:00:15,00:0f:00:70:91:0a,0.002840089,76.0,0.005114383,0.013274837,19.70000076
2025-09-01 00:00:16,b8:27:eb:bf:9d:51,0.004976012,50.9,0.007673227,0.020475126,22.6
2025-09-01 00:00:27,1c:bf:ce:15:ec:4d,0.004403027,76.80000305,0.007023337,0.018628225,27.0
2025-09-01 00:00:41,b8:27:eb:bf:9d:51,0.004967364,50.9,0.007663577,0.020447621,22.6
2025-09-01 00:00:42,1c:bf:ce:15:ec:4d,0.004391004,77.90000153,0.007009459,0.018588908,27.0
2025-09-01 00:01:19,b8:27:eb:bf:9d:51,0.004976025,50.9,0.007673242,0.020475166,22.6
2025-09-01 00:01:22,00:0f:00:70:91:0a,0.002938116,76.0,0.005241482,0.013627521,19.70000076
2025-09-01 00:01:23,1c:bf:ce:15:ec:4d,0.004345471,77.90000153,0.006956802,0.018439782,27.0
2025-09-01 00:01:23,b8:27:eb:bf:9d:51,0.004970256,50.9,0.007666805,0.02045682,22.6
2025-09-01 00:01:30,b8:27:eb:bf:9d:51,0.004960209,50.9,0.00765559,0.020424858,22.6
2025-09-01 00:02:20,1c:bf:ce:15:ec:4d,0.004383044,78.0,0.007000264,0.018562862,27.0
2025-09-01 00:02:29,b8:27:eb:bf:9d:51,0.004971645,50.9,0.007668355,0.020461238,22.6
2025-09-01 00:02:30,1c:bf:ce:15:ec:4d,0.004451498,78.0,0.007079184,0.018786491,27.0
2025-09-01 00:02:49,b8:27:eb:bf:9d:51,0.004964565,50.9,0.007660453,0.020438717,22.6
2025-09-01 00:02:53,00:0f:00:70:91:0a,0.002905015,75.80000305,0.005198697,0.013508733,19.70000076
2025-09-01 00:02:58,b8:27:eb:bf:9d:51,0.004975983,50.9,0.007673195,0.020475034,22.6
2025-09-01 00:03:25,b8:27:eb:bf:9d:51,0.004960209,50.9,0.00765559,0.020424858,22.6
2025-09-01 00:03:40,1c:bf:ce:15:ec:4d,0.004439323,77.90000153,0.007065172,0.018746775,27.0
2025-09-01 00:03:43,b8:27:eb:bf:9d:51,0.004956119,50.9,0.007651024,0.020411845,22.6
